Titulo,Cifra,Fecha,Valor,Año,Mes,Nombre_Mes,Dia,Serie
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",96.57547944,01/05/2010,96.89751953,2010,5,May,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)",96.57547944,01/06/2010,96.86717743,2010,6,June,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",96.57547944,01/06/2010,96.86717743,2010,6,June,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)",96.57547944,01/07/2010,97.0775034,2010,7,July,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",96.57547944,01/07/2010,97.0775034,2010,7,July,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)",96.57547944,01/08/2010,97.34713439,2010,8,August,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",96.57547944,01/08/2010,97.34713439,2010,8,August,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)",96.57547944,01/09/2010,97.85743347,2010,9,September,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",96.57547944,01/09/2010,97.85743347,2010,9,September,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)",96.57547944,01/10/2010,98.46151724,2010,10,October,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",96.57547944,01/10/2010,98.46151724,2010,10,October,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)",96.57547944,01/11/2010,99.25041203,2010,11,November,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",96.57547944,01/11/2010,99.25041203,2010,11,November,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)",96.57547944,01/12/2010,99.74209209,2010,12,December,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",96.57547944,01/12/2010,99.74209209,2010,12,December,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)",96.57547944,01/01/2011,100.228,2011,1,January,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",96.57547944,01/01/2011,100.228,2011,1,January,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)",96.57547944,01/02/2011,100.604,2011,2,February,1,INPC General
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",96.57547944,01/02/2011,100.604,2011,2,February,1,INPC General
